Date,Item Code,Sales Qty,Price in USD,Purchase Date,ItemCode,Item Description,Purchase Qty,Purchase Amount,Supplier,Code,Group,Category,"Quantity
On Hand","Retail
Price","Opening
Cost USD",Color,Size,month_name,year
4/16/2021,636,1,23.51,3/22/2021,636,AR4993-657 TSHIRT RN MEN NIKE S,1,7,Ali Taleb,636,TSHIRT RN,MEN,0,25,7,RED,S,March,2021
4/17/2021,738,1,22.18,8/4/2021,738,4100469705 JEANS PANT MEN LEVIS 34,1,9,Ali Taleb,738,JEANS PANT,MEN,0,25,9,NAVY,34,August,2021
4/17/2021,649,1,18.33,6/4/2021,649,AR3716-427 SPORT T-SHIRT MEN NIKE XL,1,7,Ali Taleb,649,SPORT T-SHIRT,MEN,0,20,7,BLUE,XL,June,2021
4/17/2021,517,1,50.4,10/2/2021,517,372603-02 SHOES MEN PUMA 42,1,37,Ali Taleb,517,SHOES,MEN,0,60,37,GREY,42,October,2021
4/17/2021,809,1,14.74,8/4/2021,809,410138448 SHORT MEN ALL IN MOTION L,1,6,Ali Taleb,809,SHORT,MEN,0,18,6,BLACK,L,August,2021
4/17/2021,702,1,6.45,8/4/2021,702,840080204-P1 BOXER MEN PAIR OF THEIVES XL,5,10,Ali Taleb,702,BOXER,MEN,0,7,2,MULTI,XL,August,2021
4/17/2021,887,1,23.04,8/4/2021,887,43141192 HOODIE MEN GOODFELLOW XL,1,6,Ali Taleb,887,HOODIE,MEN,0,25,6,NAVY,XL,August,2021
4/17/2021,678,1,12.29,8/4/2021,678,040051233-P3 BOXER MEN GOODFELLOW XXL,8,56,Ali Taleb,678,BOXER,MEN,1,15,7,MULTI,XXL,August,2021
4/19/2021,599,1,20.17,10/2/2021,599,SOCKS-PUMA SOCKS MEN PUMA 6 12,35,420,Ali Taleb,599,SOCKS,MEN,0,22,12,BLACK\WHITE,6 12,October,2021
4/19/2021,811,1,22.55,8/4/2021,811,281001001 SHORT MEN SPEEDO M,1,6,Ali Taleb,811,SHORT,MEN,0,25,6,BLACK GREY,M,August,2021
4/20/2021,855,1,15.1,8/4/2021,855,42080318 SHIRT MEN WRANGLER XL,1,6,Ali Taleb,855,SHIRT,MEN,0,18,6,RED,XL,August,2021
4/20/2021,1069,1,10.07,8/4/2021,1069,040051163-P3 MEN V NECK GOODEFELLOW L,2,12,Ali Taleb,1069,MEN,V NECK,0,12,6,WHITE,L,August,2021
4/21/2021,599,1,22.2,10/2/2021,599,SOCKS-PUMA SOCKS MEN PUMA 6 12,35,420,Ali Taleb,599,SOCKS,MEN,0,22,12,BLACK\WHITE,6 12,October,2021
4/22/2021,1046,1,7.83,8/4/2021,1046,571721 THERMAL PANT MEN ALL IN MOTION S,2,4,Ali Taleb,1046,THERMAL PANT,MEN,0,10,2,BLACK,S,August,2021
4/24/2021,595,1,44.59,10/2/2021,595,SN23757 SHOES WOMEN SKECHERS 37,1,27,Ali Taleb,595,SHOES,WOMEN,0,48,27,BLUE,37,October,2021
4/24/2021,742,1,16.05,8/4/2021,742,95STTCL JEANS PANT MEN WRANGLER 36,1,7,Ali Taleb,742,JEANS PANT,MEN,0,20,7,BLUE,36,August,2021
4/24/2021,743,1,20.06,8/4/2021,743,42023616 JEANS PANT MEN LEVIS 36,1,9,Ali Taleb,743,JEANS PANT,MEN,0,25,9,BLUE,36,August,2021
4/24/2021,590,1,55.73,10/2/2021,590,FU8693 SHOES MEN REEBOK 40.5,1,37,Ali Taleb,590,SHOES,MEN,0,60,37,GREY,40.5,October,2021
